INST_TEMP_ID,temp_id,WESTERN_NAME,CHINESE_NAME_HANZI,Shortened Chinese Name,Chinese_name_rom,Parent Org ID,Parent Org Name,CHINESE_ALT_NAME_HANZI,CATEGORY,SUBCATEGORY,GENDER_SERVED,AFFILIATION,CHRISTIAN TRADITION,Religious Family,RECORDED PLACE,GEOCODE,NOTES,SOURCE
合肥基督會辦公室,TN_0338,Hefei Office of Disciples of Christ ,合肥基督會辦公室,,héféi jīdū huìbàn gōngshì,C_000372,Disciples of Christ,,Ecclesial,,,,Protestant,Restorationist,,F_77,,
合肥三河中華自立基督會辦公室,TN_0339,Office of Independent Church in Sanhe,合肥三河中華自立基督會辦公室,,héféi sānhé zhōnghuá zìlì jīdū huìbàn gōngshì,,,,Ecclesial,,,,Protestant,Restorationist,,Y_32,,
合肥中華基督會合肥區鄉村教會,TN_0340,Disciples of Christ in China Rural Church (Hefei District),合肥中華基督會合肥區鄉村教會,,héféi zhōnghuá jīdū huì héféi qūxiāng cūnjiàohuì,C_000372,Disciples of Christ,,Ecclesial,,,,Protestant,Restorationist,,F_77,,
合肥三河中華基督會自立會辦公室,TN_0341,Office of Independent Church in Sanhe,合肥三河中華基督會自立會辦公室,,héféi sānhé zhōnghuá jīdū huì zìlì huìbàn gōngshì,,,,Ecclesial,,,,Protestant,Restorationist,,Y_32,,
安徽六合基督教貴格會教堂,TN_0342,Liuhe Christian Quakers Church (Anhui),安徽六合基督教貴格會教堂,,ānhuī liùhé jīdūjiào guìgéhuì jiàotáng,C_000090,American Friends Mission,,Ecclesial,Church,,,Protestant,Quaker,,Y_751,,
安徽壽縣下塘福音堂堂會教堂,TN_0343,Xiatang Gospel Congregation Church (Anhui) ,安徽壽縣下塘福音堂堂會教堂,,ānhuī shòuxiàn xiàtáng fúyīn tángtáng huì jiàotáng,,,,Ecclesial,Church,,,Protestant,,,Y_29,,
安徽壽縣下塘福音堂堂議會教堂,TN_0344,Xiatang Gospel Council Church (Anhui) ,安徽壽縣下塘福音堂堂議會教堂,,ānhuī shòuxiàn xiàtáng fúyīn tángtáng yìhuì jiàotáng,,,,Ecclesial,Church,,,Protestant,,,Y_29,,
安徽壽縣下塘楊家廟福音堂,TN_0345,Xiatang Yangjiamiao Church (Anhui),安徽壽縣下塘楊家廟福音堂,,ānhuī shòuxiàn xiàtáng yángjiāmiào fúyīn táng,,,,Ecclesial,Church,,,Protestant,,,Y_29,,
安徽壽縣姜家橋福音堂,TN_0346,Shou County Jiang Family Bridge Church (Anhui),安徽壽縣姜家橋福音堂,,ānhuī shòuxiàn jiāngjiāqiáo fúyīn táng,,,,Ecclesial,Church,,,Protestant,,,Y_42,,
安徽壽縣拐集福音堂,TN_0347,Shou County Guaiji Church (Anhui),安徽壽縣拐集福音堂,,ānhuī shòuxiàn guǎijí fúyīn táng,,,,Ecclesial,Church,,,Protestant,,,Y_42,,
安徽壽縣劉家祠堂福音堂,TN_0348,Shou County Liu Jia Ci Church (Anhui),安徽壽縣劉家祠堂福音堂,,ānhuī shòuxiàn liújiā cítáng fúyīn táng,,,,Ecclesial,Church,,,Protestant,,,Y_42,,
安徽當塗丹陽牧區教堂,TN_0349,Danyang Pastoral Area Church (Anhui),安徽當塗丹陽牧區教堂,,ānhuī dāngtú dānyángmùqū jiàotáng,,,,Ecclesial,Church,,,Protestant,,,Y_103,,
皖南灣沚宣教會教堂,TN_0350,Wanpi Missionary Society Church (Southern Anhui),皖南灣沚宣教會教堂,,,,,,Ecclesial,Church,,,Protestant,,,Y_73,,
蕪湖中國基督教宣教會教堂,TN_0351,Chinese Oriental Missionary Soceity Church (Wuhu),蕪湖中國基督教宣教會教堂,,wú húzhōng guó jīdūjiào xuānjiào huì jiàotáng,C_000203,Oriental Missionary Society,,Ecclesial,Church,,,Protestant,Holiness,,Y_73,,
江西溫家圳福音堂,TN_0352,Wenjiazhen Church (Jiangxi),江西溫家圳福音堂,,jiāngxī wēnjiāzhèn fúyīn táng,,,,Ecclesial,Church,,,Protestant,,,Y_871,,
徐州隴海西路楊樓車站堂,TN_0353,Longhai West Road Yanglou Train Station Church (Xuzhou),徐州隴海西路楊樓車站堂,,xúzhōu lǒnghǎi xīlù yánglóu chēzhàn táng,,,,Ecclesial,Church,,,Protestant,,,Y_796,,
徐州區雙溝堂,TN_0354,Shuanggou Church (Xuzhou District),徐州區雙溝堂,,xúzhōu qūshuāng gōutáng,,,,Ecclesial,Church,,,Protestant,,,Y_798,,
徐州南關耶穌堂,TN_0355,Nankai Jesus Church (Xuzhou) ,徐州南關耶穌堂,,xúzhōu nánguān yēsū táng,,,,Ecclesial,Church,,,Protestant,,,Y_801,,
徐西區會碭山堂,TN_0356,Huidangshan Church (Xuxi District),徐西區會碭山堂,,xúxīqū huì dàng shāntáng,,,,Ecclesial,,,,Protestant,,,Y_59,,
徐州北關堂會,TN_0357,Xuzhou Beiguan Congregation ,徐州北關堂會,,xúzhōu běiguān tánghuì,,,,Ecclesial,,,,Protestant,,,Y_801,,
徐州東關禮拜堂,TN_0358,Xuzhou Dongguan Church ,徐州東關禮拜堂,,xúzhōu dōngguānlǐ bàitáng,,,,Ecclesial,,,,Protestant,,,Y_801,,
山東濟寧市基督教聯合會辦公室,TN_0359,Jining Christian Union Church Office (Shandong),山東濟寧市基督教聯合會辦公室,,shāndōngjìníngshì jīdūjiào liánhéhuì bàn gōngshì,,,,Ecclesial,,,,Protestant,,,F_107,,
山東泰寧馬莊耶穌家庭道學班,TN_0360,Taining Mazhuang Jesus Family Bible Study Class (Shandong) ,山東泰寧馬莊耶穌家庭道學班,,shāndōng tàiníngmǎ zhuāngyēsū jiātíng dào xuébān,C_000148,Jesus Family ,,Ecclesial,,,,Protestant,,,Y_1449,,
河南洧川縣中華基督教福音堂,TN_0361,Church of Christ in China- Weichuan County Church (Henan),河南洧川縣中華基督教福音堂,,hénán wěichuānxiàn zhōnghuá jīdūjiào fúyīn táng,C_000934,Church of Christ in China,,Ecclesial,,,,Protestant,,,Y_2432,,
北京中國神召會辦公室,TN_0362,Office of Assembly of God in China (Beijing),北京中國神召會辦公室,,běijīng zhōngguóshén zhàohuìbàn gōngshì,C_000026,Assemblies of God Mission,,Ecclesial,,,,Protestant,Pentecostal,,Y_2502,,
天津中華基督教旺道莊教會辦公室,TN_0363,Church of Christ in China- Wangdaozhuang Church Office (Tianjin),天津中華基督教旺道莊教會辦公室,,tiānjīn zhōnghuá jīdūjiào wàngdào zhuāngjiàohuì bàn gōngshì,C_000934,Church of Christ in China,,Ecclesial,,,,Protestant,,,Y_1818,,
天津岡緯路教會辦公室,TN_0364,Gangwei Road Church Office (Tianjin),天津岡緯路教會辦公室,,tiānjīn gāngwěilù jiàohuìbàn gōngshì,,,,Ecclesial,,,,Protestant,,,Y_1817,,
平原濮陽七城村中華基督教辦公室,TN_0365,Office of Qicheng Village Church of Christ in China (Pingyuan),平原濮陽七城村中華基督教辦公室,,píngyuán púyángqīchéngcūn zhōnghuá jīdūjiào bàn gōngshì,C_000934,Church of Christ in China,,Ecclesial,,,,Protestant,,,Y_2402,,
平原省原陽齊亦鎮福音堂,TN_0366,Qiyi Town Church (Pingyuan Province),平原省原陽齊亦鎮福音堂,,píngyuán shěng yuányáng qíyìzhèn fúyīn táng,,,,Ecclesial,Church,,,Protestant,,,Y_2431,,
